target_date,origin_date,adjusted_mspe,raw_mspe,mspe_delta_raw_minus_adjusted,adjusted_qlike,raw_qlike,qlike_delta_raw_minus_adjusted
2025-09-11,2025-09-10,0.0006288769133927255,0.0007555389847764627,0.00012666207138373718,-307.60766905458996,-306.62320130782507,0.9844677467648921
2025-09-12,2025-09-11,0.0009085720049290044,0.001024826937256507,0.00011625493232750252,-295.62312265393257,-294.8699568665876,0.7531657873449831
2025-09-13,2025-09-12,0.0002878682402205953,0.0003650646825605802,7.719644233998492e-05,-311.03387157967063,-308.54442395219803,2.4894476274726003
2025-09-14,2025-09-13,0.0005701572179357905,0.0005861570038078771,1.5999785872086638e-05,-310.4511613309817,-310.21696589080443,0.23419544017724547
2025-09-15,2025-09-14,0.00027185277417028436,0.00024235354337801498,-2.949923079226938e-05,-321.9829128348319,-320.73295268331077,1.2499601515211225
2025-09-16,2025-09-15,0.00032444206288576466,0.00041356734469339,8.912528180762532e-05,-326.69279163753566,-324.44332504817567,2.249466589359997
2025-09-17,2025-09-16,0.0004543457747335248,0.000428008215770432,-2.63375589630928e-05,-326.8225017911119,-324.5108299533599,2.3116718377519874
2025-09-18,2025-09-17,0.0004057035069842038,0.0004871663516820521,8.146284469784832e-05,-330.12143618433834,-327.94294816913316,2.1784880152051755
2025-09-19,2025-09-18,0.00014517551669051296,0.00016525187075724273,2.0076354066729768e-05,-337.4554776097034,-334.79777661536485,2.6577009943385406
2025-09-20,2025-09-19,0.00035080477087775846,0.0004381335993556295,8.732882847787107e-05,-341.17691734854344,-338.2983804825371,2.878536866006357
2025-09-21,2025-09-20,0.0008010217374579094,0.0008831897056858618,8.216796822795242e-05,-255.94156317818124,-260.45000919297496,-4.508446014793719
2025-09-22,2025-09-21,0.0012745179362031326,0.001220583998039784,-5.393393816334859e-05,-272.63772083566016,-273.48905808378953,-0.8513372481293686
2025-09-23,2025-09-22,0.0005805870760857027,0.0004846574544799493,-9.592962160575333e-05,-313.9568894058466,-315.09322736293507,-1.1363379570884717
2025-09-24,2025-09-23,0.0002147651990860165,0.0002285679827666951,1.3802783680678607e-05,-324.38067691415836,-323.5634889501093,0.8171879640490829
2025-09-25,2025-09-24,0.0023525851172081645,0.002119142066243331,-0.00023344305096483333,-274.27891690847946,-282.1413060231265,-7.862389114647044
2025-09-26,2025-09-25,0.0014574616399070598,0.0012581091338249714,-0.00019935250608208843,-318.04251218719986,-317.68973311181315,0.3527790753867066
2025-09-27,2025-09-26,0.00046402912487963677,0.0006285292025626287,0.00016450007768299197,-329.4860649208323,-328.15753769182544,1.328527229006852
2025-09-28,2025-09-27,0.0003450317489603139,0.0004892640054513272,0.00014423225649101332,-339.22726745674487,-336.9799516720893,2.247315784655541
2025-09-29,2025-09-28,0.00014897385503513858,0.0001524917958536863,3.5179408185477155e-06,-323.7672356990694,-322.8648320702829,0.9024036287864874
2025-09-30,2025-09-29,0.00017917056310317252,0.0002587737367898903,7.960317368671776e-05,-317.1737953494169,-317.0620715759495,0.11172377346736084
2025-10-01,2025-09-30,0.00014469285863459607,0.0002143747222132776,6.968186357868153e-05,-323.5961699237854,-322.06295046959906,1.5332194541863373
2025-10-02,2025-10-01,0.00011378432236734145,0.0001846311858922024,7.084686352486094e-05,-328.39857546042634,-326.4320923451603,1.966483115266044
2025-10-03,2025-10-02,0.00010661736406238913,0.00013606842593440047,2.945106187201134e-05,-333.0777359221169,-330.9962654791817,2.081470442935199
2025-10-04,2025-10-03,0.00023064072485576466,0.00032786539459757775,9.722466974181309e-05,-337.78723610823863,-335.9984692667561,1.788766841482527
2025-10-05,2025-10-04,0.00011603583193107047,0.0001711859601548397,5.515012822376922e-05,-336.6166867546924,-334.6664314581145,1.9502552965778932
2025-10-06,2025-10-05,0.0002600688848036636,0.0003793312398229709,0.00011926235501930727,-333.8969726266457,-331.9192532439346,1.9777193827111432
2025-10-07,2025-10-06,0.0002262888934917162,0.00022142074799607359,-4.868145495642601e-06,-334.7145070594995,-333.3332569615142,1.381250097985287
2025-10-08,2025-10-07,0.00015990074164864604,0.00022705889020607707,6.715814855743103e-05,-327.54275223771384,-326.829077344933,0.7136748927808299
2025-10-09,2025-10-08,0.0002843447800219307,0.0003419487358353554,5.76039558134247e-05,-309.711897266874,-311.5648055387085,-1.852908271834508
2025-10-10,2025-10-09,0.1982061532916488,0.19636265361094865,-0.0018434996807001613,283.98759002314017,250.7211331723243,-33.26645685081587
2025-10-11,2025-10-10,0.02794468149362847,0.01593323074827993,-0.01201145074534854,-212.57623538455903,-209.22925422176013,3.3469811627988975
2025-10-12,2025-10-11,0.0025058338989157073,0.0028341322057123947,0.0003282983067966873,-284.1337707989158,-280.6938896586694,3.4398811402464275
2025-10-13,2025-10-12,0.0003900423242003348,0.00455774096922831,0.004167698645027975,-294.54274410621116,-292.27727697494123,2.2654671312699293
2025-10-14,2025-10-13,0.0014818968255272777,0.0021172444515104483,0.0006353476259831705,-303.3574430191657,-302.60015704222263,0.7572859769430806
2025-10-15,2025-10-14,0.0006587846885958584,0.005219041587608679,0.004560256899012821,-318.2821654554304,-316.6096263798224,1.6725390756080287
2025-10-16,2025-10-15,0.0007759259034390487,0.001677032753287802,0.0009011068498487534,-309.83436192797154,-308.47698200301664,1.3573799249548983
2025-10-17,2025-10-16,0.005254378038058158,0.0019345613564209607,-0.003319816681637197,-299.03750351643384,-297.3457893209751,1.6917141954587578
2025-10-18,2025-10-17,0.0016850864637124353,0.006561696438760453,0.004876609975048018,-314.7391892825223,-313.2617339922545,1.4774552902678124
2025-10-19,2025-10-18,0.0010504991708976193,0.004754703858324667,0.003704204687427048,-299.41136057440934,-297.11266925683987,2.298691317569478
2025-10-20,2025-10-19,0.002985577087045251,0.0064329520073771185,0.0034473749203318676,-269.26118055597885,-277.7607812360817,-8.499600680102844
2025-10-21,2025-10-20,0.0005195693079743751,0.0011197064885674012,0.0006001371805930261,-306.80933174391635,-305.6943443622326,1.1149873816837612
2025-10-22,2025-10-21,0.0006610904632243981,0.002891459928035141,0.0022303694648107427,-316.3448955586182,-315.74862286397405,0.5962726946441421
2025-10-23,2025-10-22,0.0015824324703050305,0.004870246141068584,0.0032878136707635533,-319.7399865546847,-318.3144128693691,1.4255736853156122
2025-10-24,2025-10-23,0.0012074059751677733,0.003771028325256885,0.0025636223500891116,-314.2139865323072,-311.4434803894209,2.7705061428862905
2025-10-25,2025-10-24,0.0030900365064619904,0.006470999379395428,0.0033809628729334377,-322.5231760163313,-320.1956704545036,2.3275055618277065
2025-10-26,2025-10-25,0.002758550763067029,0.0052956828671571945,0.0025371321040901654,-271.3582515396803,-269.73499032904226,1.6232612106380202
2025-10-27,2025-10-26,0.0014666134598820305,0.0031495258115535204,0.0016829123516714898,-272.0288816114751,-274.9150327952598,-2.8861511837847047
2025-10-28,2025-10-27,0.0011082382757219992,0.0022250620290321637,0.0011168237533101645,-265.83722330629325,-261.73623038879873,4.100992917494523
2025-10-29,2025-10-28,0.00024087660316033445,0.0011578075789303935,0.000916930975770059,-310.47589806880933,-308.1810763142374,2.294821754571956
2025-10-30,2025-10-29,0.0002946556766936122,0.0004979860296428188,0.00020333035294920658,-298.02589686007065,-297.35913347621204,0.6667633838586084
2025-10-31,2025-10-30,0.0005101520065650864,0.0015411192477230175,0.0010309672411579311,-305.800376555261,-303.7500526012893,2.050323953971656
2025-11-01,2025-10-31,0.001688023767914275,0.0030216791511142784,0.0013336553832000034,-313.60953140396265,-312.4511374312215,1.1583939727411234
2025-11-02,2025-11-01,0.0007541885783266397,0.0016710093784179883,0.0009168208000913487,-313.270381799298,-312.25965321216046,1.0107285871375211
2025-11-03,2025-11-02,0.005556195829990033,0.0037926281843866042,-0.001763567645603429,-266.2853422865589,-267.2283177615128,-0.9429754749539256
2025-11-04,2025-11-03,0.0924843778056802,0.08382096126280837,-0.008663416542871824,-236.33782573718577,-235.19601035279334,1.1418153843924301
2025-11-05,2025-11-04,0.004326749375027073,0.002940490391301084,-0.0013862589837259891,-294.1139572025363,-292.50056041168216,1.6133967908541536
2025-11-06,2025-11-05,0.0041164571602700355,0.00431130037820742,0.00019484321793738438,-232.7129272743723,-233.19597877049338,-0.4830514961210781
2025-11-07,2025-11-06,0.004568325767849615,0.0030827044525630126,-0.0014856213152866027,-280.48298613357423,-279.54762988949443,0.9353562440797987
2025-11-08,2025-11-07,0.0004981328833438502,0.0010810066647149452,0.000582873781371095,-293.9744464441341,-292.3618157389134,1.612630705220738
2025-11-09,2025-11-08,0.0004213029434352949,0.0009383426921130888,0.000517039748677794,-301.19521060950007,-300.76642154503486,0.4287890644652066
2025-11-10,2025-11-09,0.0003711838326331387,0.0008576032241946785,0.00048641939156153984,-302.9080803072026,-301.23110531651866,1.6769749906839593
2025-11-11,2025-11-10,0.0029106080841936016,0.003461240715598414,0.0005506326314048122,-251.11317413860024,-252.62568863832067,-1.5125144997204245
2025-11-12,2025-11-11,0.000630104499613802,0.0010756023085806514,0.00044549780896684945,-291.38083021825526,-290.9886204842792,0.39220973397607395
2025-11-13,2025-11-12,0.0004899215950504973,0.0007017388701388671,0.00021181727508836983,-298.2874394889883,-296.8767302415525,1.4107092474358183
2025-11-14,2025-11-13,0.0028104952052509127,0.0020517683324680577,-0.000758726872782855,-295.72953422053064,-295.1526603489231,0.5768738716075177
2025-11-15,2025-11-14,0.002165745452067951,0.0031436950297215357,0.0009779495776535848,-319.07120731339353,-316.7763019956989,2.2949053176946563
2025-11-16,2025-11-15,0.0008349451727806688,0.0009766142586133887,0.00014166908583271992,-299.39184922773893,-298.70057831220345,0.6912709155354833
2025-11-17,2025-11-16,0.0009007012808145516,0.0008184287930806035,-8.227248773394805e-05,-297.3379764713416,-296.21781846680426,1.120158004537359
2025-11-18,2025-11-17,0.0008532479621301042,0.0006930277497234378,-0.00016022021240666645,-299.5756610342709,-297.9133282334033,1.6623328008676026
2025-11-19,2025-11-18,0.000463622373247675,0.0003562184480781494,-0.00010740392516952563,-309.218721891957,-307.4992156789348,1.719506213022214
2025-11-20,2025-11-19,0.0003051765765737022,0.00031443457616254654,9.257999588844351e-06,-292.32195236216904,-290.88268517601244,1.4392671861565987
2025-11-21,2025-11-20,0.029961159513530154,0.0276049795789641,-0.002356179934566053,-260.10803362606396,-261.8862958662786,-1.7782622402146444
2025-11-22,2025-11-21,0.0011689220664860317,0.0014622131930998195,0.0002932911266137878,-276.7228523358958,-278.97545210034025,-2.252599764444426
2025-11-23,2025-11-22,0.0031380579778699036,0.0035529589805089424,0.0004149010026390388,-265.83759755033674,-270.89643388875254,-5.0588363384158015
2025-11-24,2025-11-23,0.0017437387917278665,0.002120064690837035,0.0003763258991091687,-279.124493531049,-281.4320260007778,-2.3075324697288124
2025-11-25,2025-11-24,0.0015853708968418647,0.002067455638902683,0.0004820847420608184,-292.1476433091092,-291.3799199970414,0.7677233120678011
2025-11-26,2025-11-25,0.0027034389418558137,0.003407495512934687,0.0007040565710788732,-306.6502256372941,-304.38524807916036,2.264977558133751
2025-11-27,2025-11-26,0.0060978883583856485,0.006700385295564087,0.0006024969371784383,-213.1185217664798,-217.53864082981005,-4.420119063330247
2025-11-28,2025-11-27,0.004047612946477341,0.004489353813558727,0.0004417408670813862,-238.4045071469269,-246.60737824635865,-8.202871099431746
2025-11-29,2025-11-28,0.003991215762924092,0.004709418548922991,0.000718202785998899,-279.7670852047192,-281.3745436272606,-1.6074584225414128
2025-11-30,2025-11-29,0.003010427193536865,0.0035764505819856456,0.0005660233884487807,-282.4204165150104,-282.9116908930479,-0.491274378037474
2025-12-01,2025-11-30,0.0006164273292099348,0.0006259092811954033,9.481951985468523e-06,-273.4312680029911,-273.120977499406,0.3102905035850654
2025-12-02,2025-12-01,0.0007830730695305449,0.0009289025050912831,0.0001458294355607383,-276.07777686555266,-275.89583060129627,0.18194626425639626
