ticker,n_obs_1m,n_obs_daily,mean_log_return_1m,std_log_return_1m,min_log_return_1m,max_log_return_1m,mean_log_return_1m_bps,std_log_return_1m_bps,min_log_return_1m_pct,max_log_return_1m_pct,mean_log_return_daily,std_log_return_daily,mean_log_return_daily_pct,std_log_return_daily_pct,ordinary_kurtosis_1m,excess_kurtosis_1m,log_ordinary_kurtosis_1m
ATH,568800,395,-3.0221202048979094e-06,0.0025699364239354133,-0.09730932369446776,0.14272750034718218,-0.030221202048979094,25.699364239354132,-9.730932369446776,14.272750034718218,-0.004351853095052989,0.05890674723442562,-0.4351853095052989,5.890674723442562,78.04832824134965,75.04832824134965,4.357328227659015
TOKAMAK,568800,395,-1.6284125575374876e-06,0.0021836175559273954,-0.08569472110488263,0.09748553095754442,-0.016284125575374876,21.836175559273954,-8.569472110488263,9.748553095754442,-0.0023449140828539824,0.03695235165073623,-0.23449140828539825,3.695235165073623,89.8570754051172,86.8570754051172,4.498220356986372
CARV,568800,395,-3.703340390466482e-06,0.0024154462722946637,-0.20166919779174108,0.11663690372576063,-0.03703340390466482,24.154462722946636,-20.16691977917411,11.663690372576063,-0.005332810162271735,0.04732694458903564,-0.5332810162271735,4.732694458903564,168.81442993483898,165.81442993483898,5.128800063904154
MEW,568800,395,-2.6042177175592224e-06,0.0022005101736615245,-0.08076135664445849,0.0642664493089305,-0.026042177175592224,22.005101736615245,-8.07613566444585,6.426644930893049,-0.0037500735132852798,0.055173818872334746,-0.37500735132852797,5.517381887233475,29.712459706223573,26.712459706223573,3.391566476563342
MNT,568800,395,-2.344150996741402e-08,0.0015362911013129365,-0.07650222708836996,0.08107984166950732,-0.0002344150996741402,15.362911013129365,-7.650222708836996,8.107984166950732,-3.3755774353076186e-05,0.047814976054758415,-0.0033755774353076183,4.781497605475842,72.88845489723468,69.88845489723468,4.288930257436351
PYTH,568800,395,-2.941101030856763e-06,0.0022186418573273085,-0.11383514264879846,0.11599891386288164,-0.02941101030856763,22.186418573273084,-11.383514264879846,11.599891386288164,-0.004235185484433739,0.06284281366148617,-0.4235185484433739,6.284281366148617,61.31797906743317,58.31797906743317,4.116073096308414
SONIC,568800,395,-3.5623022250639435e-06,0.0024116107643471865,-0.10251556352559543,0.09236511826673155,-0.03562302225063944,24.116107643471864,-10.251556352559543,9.236511826673155,-0.005129715204092078,0.05084880930716656,-0.5129715204092078,5.084880930716656,71.15317471245434,68.15317471245434,4.26483494353275
GAS,568800,395,-1.2562853867327124e-06,0.0015366930533994043,-0.06085139554876129,0.07669553625290071,-0.012562853867327124,15.366930533994042,-6.085139554876129,7.669553625290071,-0.0018090509568951059,0.04220217549746905,-0.18090509568951058,4.220217549746905,117.18194237347927,114.18194237347927,4.763727789960482
AKT,568800,395,-2.0506174866684886e-06,0.002019360835972054,-0.09003265067149435,0.17768117723745291,-0.020506174866684886,20.193608359720542,-9.003265067149435,17.76811772374529,-0.002952889180802623,0.055037874077101465,-0.2952889180802623,5.5037874077101465,224.7391979857824,221.7391979857824,5.414940609842003
BIGTIME,568800,395,-3.0501608123444512e-06,0.0019405164852758596,-0.13976194237515882,0.1282862944883707,-0.03050160812344451,19.405164852758595,-13.976194237515882,12.82862944883707,-0.00439223156977601,0.049136612605289225,-0.439223156977601,4.913661260528922,166.84237569708185,163.84237569708185,5.117049508600908
DRIFT,568800,395,-4.136332734348201e-06,0.0024219315089658413,-0.1885183233314658,0.18502791839169763,-0.04136332734348201,24.219315089658412,-18.85183233314658,18.502791839169763,-0.005956319137461409,0.05820430524582874,-0.5956319137461409,5.820430524582874,188.57113814638498,185.57113814638498,5.23947532639111
